,Scenarios
21,"Scenario description and goal: Complete the home renovation, 

Tasks associated: 
1. Demolishing the old cabinets and installing new ones
2. Rewiring the electrical outlets
3. Choosing paint colors for the home
4. Selecting fabrics for new curtains

Characters Involved: Carl, Craig, Claire, Carly"
22,"Scenario description and goal: Ensure that the house is clean and well-maintained by the end of Saturday.

Tasks associated:
1. Fix the leaky faucet
2. Mow the lawn
3. Clean the bathrooms
4. Vacuum the living room and dust

Characters Involved: Mark, Linda, Jessica, Alex"
23,"Scenario description and goal: Prepare for a road trip, ensuring the vehicle is in good working condition and that the passengers have everything they need for an enjoyable journey.

Tasks associated:

1. Check the car's oil level to ensure the engine is properly lubricated for the trip.
2. Verify the tire pressure is at the correct level for a safe and fuel-efficient drive.
3. Pack the trunk with luggage, optimizing space for all items to fit securely.
4. Prepare a variety of snacks and sandwiches to keep everyone satiated during the trip.
5. Gather games and activities to provide entertainment and prevent boredom on the long drive.

Characters Involved: Michael, Kevin, Susan, Rachel"
24,"Scenario description and goal: Establish a comprehensive family financial plan.

Tasks associated:
1. Discuss investment strategies and retirement funds.
2. Review insurance policies.
3. Organize monthly bills.
4. Clip coupons for grocery shopping.

Characters Involved: Robert, James, Patricia, Angela."
25,"Scenario description and goal: To make informed decisions for a home renovation project, including selecting materials for a new deck and choosing curtain designs and paint colors for the living room.

Tasks associated:
1. Research and debate the best types of materials suitable for building a new outdoor deck, considering factors like durability, cost, maintenance, and aesthetic appeal.
2. Finalize the decision on the decking materials and procure quotes from suppliers or contractors for the required materials and labor.
3. Look through catalogs and online resources to find curtain designs that complement the aesthetic of the living room and fit within the budget.
4. Choose paint colors for the living room walls that match the selected curtains and create a harmonious color scheme for the space.

Characters Involved: Greg, Brian, Teresa, Nicole"
26,"Scenario description and goal: To complete a series of home improvement projects over the weekend.

Tasks associated:
1. Fixing the leaky faucet.
2. Installing new shelves.
3. Cleaning the house.
4. Organizing and decorating the rooms.

Characters Involved: Mark, Lisa, Brian, Sarah."
27,"Scenario description and goal: Ensure a well-prepared and smooth family road trip, Your tasks to assign characters to: 
1. Driving and checking the car's oil levels, 
2. Loading the luggage, 
3. Packing the snacks and organizing the itinerary, 
4. Making sure all the electronic devices are charged, 
Characters Involved: Tom, Susan, Mike, Rachel."
28,"Scenario description and goal: Prepare for the holiday season, Tasks associated: 1) Hanging the outdoor lights, 2) Chopping firewood, 3) Baking cookies, 4) Wrapping gifts, Characters Involved: David, Angela, Ethan, Olivia"
29,"Scenario description and goal: To work on and enhance the family garden, Your tasks to assign characters to these tasks: 

1. Digging and preparing the soil for planting.
2. Assisting with the heavy lifting related to garden preparation.
3. Selecting flowers and planning the garden layout.
4. Assisting with planting the smaller plants.

Characters Involved: Steve, Jennifer, Jack, Sophie."
30,"Scenario description and goal: Organize a successful family game night.

Tasks associated:
1. Setting up the gaming console and handling the technical setup.
2. Assisting with arranging the chairs for the game night.
3. Preparing the snacks and drinks for everyone to enjoy.
4. Helping with the food presentation to ensure everything looks appetizing.

Characters Involved: Roberto, Maria, Carlos, Isabel."
31,"Scenario description and goal: Prepare for a potential power outage due to an impending storm.

Tasks associated:
1. Gather flashlights, batteries, and candles to ensure there's a source of light if the power goes out.
2. Charge all mobile devices and keep portable chargers ready so that communication remains possible during the outage.
3. Stock up on non-perishable food items and water to ensure there are enough supplies for the duration of the power outage.
4. Secure outdoor furniture and check the house for potential hazards that the storm might aggravate.

Characters Involved: Emily, James, Sarah, John"
32,"Scenario description and goal: Rearrange the office efficiently, Your tasks to assign characters to: 
1. Move the heavy furniture
2. Rewire the electronics
3. Tidy up the smaller items and decorations
4. Organize the files, Characters Involved: Mark (M), Lisa (F), Tom (M), Karen (F)"
33,"Scenario description and goal: Successfully manage and mitigate the crisis impacting the company.

Tasks associated:
1. Lead the crisis management team and coordinate the overall response efforts.
2. Liaise with external stakeholders to maintain relationships and manage external communications.
3. Communicate with the company staff to keep them informed and maintain calm within the organization.
4. Organize the logistics of the crisis response to ensure that all resources and arrangements are effectively in place.

Characters Involved: Michael, Jennifer, David, Angela"
34,"Scenario description and goal: Restore and manage office internet outage, Tasks associated: 
1. Troubleshoot the issue to restore connectivity.
2. Develop a backup plan to mitigate current and future risks.
3. Communicate the downtime and updates to all affected parties.
4. Document the incident comprehensively for future reference and analysis.
Characters Involved: Brian, Julie, Kevin, Emma"
35,"Scenario description and goal: Successful completion of the annual budget planning, Tasks associated: 1) Analyze the investment opportunities, 2) Forecast the next quarter's revenue, 3) Ensure everyone has the necessary materials and refreshments, 4) Compile the previous year's spending reports, Characters Involved: Greg, Susan, Peter, Mary"
36,"Scenario description and goal: Successfully initiate and manage a new technology project, ensuring that all key aspects of development and communication are meticulously handled.

Tasks associated:
1. Take on the responsibility of leading the programming team, driving the development of the project from a technical standpoint.
2. Spearhead the strategic planning and execution of the project's technical milestones, ensuring timely delivery and adherence to the highest standards of coding.
3. Maintain comprehensive documentation of the project's progress, including detailed records of decisions, design changes, and coding iterations.
4. Manage all internal and external communications related to the project, ensuring that stakeholders are kept informed and engaged throughout the project lifecycle.

Characters Involved: Steve, Alice, Mike, Rachel"
37,"Scenario description and goal: Successfully prepare and deliver a sales pitch to a potential client.

Tasks associated:
1. Lead the negotiation process with the client, ensuring all key selling points are effectively communicated and any questions or concerns from the client are addressed.
2. Organize the logistics for the pitch, including preparing documents, presentations, and any other materials required for a successful pitch.
3. Arrange for the client's welcome, making sure that the atmosphere is professional and hospitable to create a positive first impression.
4. Ensure everyone's comfort during the meeting, overseeing the setup of the meeting space and the provision of refreshments or other accommodations.

Characters Involved: David, Emma, Paul, Lisa"
38,"Scenario description and goal: Successfully host a networking event for industry leaders and discuss potential strategic partnerships.

Tasks associated:
1. Engage with industry leaders to discuss potential strategic partnerships.
2. Subtask 1: Identify key partnership opportunities.
   Subtask 2: Negotiate preliminary partnership terms.
3. Act as the hostess for the event, ensuring everything runs smoothly.
4. Subtask 1: Coordinate logistics with the event planners.
   Subtask 2: Manage the event schedule and guest interactions.

Characters Involved: Mark, Olivia, James, Sophie"
39,"Scenario description and goal: Compile the annual company report, ensuring that all financial data is accurately analyzed and that the report is visually engaging.

Tasks associated:

1. Analyze the year's financial data for accuracy and comprehensiveness.
2. Interpret the financial analysis and prepare written summaries of key financial highlights and insights.
3. Design the layout of the annual report to be visually appealing and reflective of the company's brand.
4. Select appropriate graphics and visual elements to complement the text and data within the report.

Characters Involved: Michael, Jennifer, Jack, Natalie"
40,"Scenario description and goal: Successfully conduct a crisis management simulation to test and improve the company's emergency response and internal communication protocols.

Tasks associated:
1. Lead the emergency response team, coordinating efforts and making critical decisions to manage the simulated crisis.
2. Subtask 1: Assess the situation and establish priorities for the response.
   Subtask 2: Communicate with external emergency services and ensure the integration of their support with the company's efforts.
3. Handle internal communications, ensuring all employees are informed about the crisis and the company's response.
4. Subtask 1: Check on employee well-being, providing support and information to address their concerns.
   Subtask 2: Coordinate with the emergency response leader to provide regular updates and instructions to staff.

Characters Involved: Richard, Claire, Daniel, Emily"
41,"Scenario description and goal: Update the company's security protocols, Your have to assign characters to these tasks: 

1. Overseeing the technical implementation of system upgrades.
2. Configuring new security features and ensuring compatibility with existing systems.
3. Developing and delivering training material on new security practices.
4. Organizing sessions and workshops to educate employees about security protocol changes.

Characters Involved: Luke, Grace, Ethan, Hannah"
42,"Scenario description and goal: Develop a new innovative product, Tasks associated:

1. Identify current market trends and perform a gap analysis to uncover unmet needs within the industry.
2. Analyze competitor products to find potential areas for differentiation and improvement.

3. Generate a list of potential features and benefits that the new product could offer, prioritizing them based on feasibility and impact.
4. Design a basic prototype or concept sketch to visualize the product and gather initial feedback on its design and function.

Characters Involved: John, Peter, Mary, Susan"
43,"Scenario description and goal: Successfully present a tech startup to potential investors, ensuring a comprehensive understanding of the product, financial stability, and risk management. Tasks associated: 

1. Handle the technical presentation and explain the software architecture.
2. Discuss risk management and financial projections.
3. Greet investors and hand out brochures.
4. Set up the presentation equipment and ensure that the promotional materials are displayed.

Characters Involved: Michael, Alex, Laura, Emily"
44,"Scenario description and goal: Successfully organize a large corporate event, ensuring all aspects from financial management to security, technical setup, guest coordination, and venue decoration are expertly handled.

Tasks associated:

1. Negotiating with vendors and managing the event budget.
2. Overseeing the security arrangements and technical setup.
3. Handling the guest list and coordinating RSVPs.
4. Decorating the venue and selecting floral arrangements.

Characters Involved: Robert, Daniel, Jennifer, Elizabeth."
45,"Scenario description and goal: Successfully launch a new product and ensure effective communication with the media, handle technical inquiries, manage attendee registration, and collect feedback on the event.

Tasks associated:

1. Present the new product to the media and discuss its potential market impact.
2. Address technical questions during the Q&A session.
3. Oversee the registration desk, ensuring all attendees are checked in.
4. Collect feedback forms from attendees at the conclusion of the event.

Characters Involved: Thomas, David, Sarah, Rachel."
46,"Scenario description and goal: Successfully conduct an emergency response drill at the office, ensuring that all staff members understand their roles and are prepared for potential emergencies.

Tasks associated:
1. Overseeing the entire drill operation and making critical decisions as the incident commander.
2. Evaluating and ensuring the building's structural safety and integrity.
3. Providing immediate first aid treatment to individuals acting as mock victims.
4. Handing out safety information pamphlets to the employees and educating them on emergency procedures.

Characters Involved: William, Charles, Patricia, Angela"
47,"Scenario description and goal: Ensure a seamless transition and effective functioning during an office renovation, while also establishing an optimized and technologically advanced workspace post-renovation. Tasks associated: 

1. Discuss and plan the new office layout, focusing on ergonomic design to enhance productivity and comfort.
2. Decide on the cutting-edge technology and hardware that will be integrated into the newly designed space to streamline operations.
3. Select a visually appealing color scheme and office decor that will create a welcoming and inspiring environment.
4. Organize the logistics of staff relocation to minimize disruption during the renovation period and ensure that all team members are comfortably settled in the temporary workspace.

Characters Involved: James, Richard, Heather, Melissa"
48,"Scenario description and goal: Ensure the smooth operation of a late-night hospital shift, Your tasks to assign characters to these tasks: 
1. Handle the most complex cases that come in.
2. Clean the operating rooms.
3. Conduct routine patient check-ups and medication distribution.
4. Resolve a scheduling conflict among the staff.
Characters Involved: Dr. Mark, Nurse Anna, Janitor Bob, HR Manager Laura"
49,"Scenario description and goal: Efficiently manage the aftermath of a natural disaster by providing medical care, ensuring power supply, comforting patients, and securing housing for those affected. Tasks associated:

1. Triage and treat the most severely injured victims.
2. Restore power to the critical areas of the hospital.
3. Comfort and calm the incoming patients.
4. Assist with finding temporary housing for the displaced families.

Characters Involved: Surgeon, Nurse, Electrician, Social Worker"
50,"Scenario description and goal: Ensure the efficient operation and patient care in the Pediatric Ward, Your tasks to assign characters to these tasks: 

1. Conduct medical rounds and diagnose young patients.
2. Maintain and set up medical equipment.
3. Entertain children and educate parents on home care.
4. Schedule follow-up appointments and answer phone calls.

Characters Involved: Dr. Alex, Nurse Lily, Technician Joe, Receptionist Mary"
51,"Scenario description and goal: Ensure the operating room is fully prepared for a major surgery, with all necessary precautions and preparations completed in advance.

Tasks associated:
1. Prepare the anesthesia plan for the patient.
2. Check and repair surgical equipment if needed.
3. Prep the patient by washing and shaving the operation site.
4. Ensure all consent forms are signed and filed correctly.

Characters Involved: Dr. Brian, Nurse Susan, Maintenance Worker Tom, Documentation Specialist Karen."
52,"Scenario description and goal: Ensure the pediatric unit functions efficiently and effectively to provide optimal care for young patients. Tasks associated:
1. Make the final treatment decisions for patients.
2. Manage the inventory of medical supplies.
3. Conduct routine check-ups on the patients.
4. Clean the children's play area to maintain a hygienic and welcoming environment.

Characters Involved: Dr. Mark, Dr. Emily, Orderly Brian, Orderly Jennifer."
53,"Scenario description and goal: Successfully complete a complex surgical procedure, ensuring patient safety and optimal outcomes. Tasks associated: 

1. Perform critical incisions and make decisive judgments throughout the operation. 
2. Monitor the patient's vital signs continuously to ensure stability during surgery. 
3. Provide assistance by suturing and supporting the primary surgeon's needs. 
4. Maintain accurate records of the surgery and keep the patient's family informed of the progress. 

Characters Involved: Surgeon Michael, Surgeon Anna, Anesthesiologist Jack, Anesthesiologist Sarah"
54,"Scenario description and goal: Ensure the smooth operation of the ward during the night shift, Your tasks to assign characters to these tasks: 
1. Overseeing the entire ward and delegating tasks to others.
2. Fixing a malfunctioning ECG machine.
3. Patient bathing and bedding.
4. Restocking the supply closet.
Characters Involved: Charge Nurse, Nurse, Technician, Technician"
55,"Scenario description and goal: Ensure efficient operation of a general practice clinic, with tasks including diagnosing and treating patients, documenting medical histories, conducting technical medical procedures, and managing patient appointments and front desk activities.

Tasks associated:
1. Focus on diagnosing patients and prescribing treatments.
2. Perform blood draws and other technical procedures.
3. Handle patient intake and medical history documentation.
4. Schedule follow-up appointments and manage the front desk.

Characters Involved: Dr. Ethan, Dr. Nora, Medical Assistant Derek, Medical Assistant Lisa"
56,"Scenario description and goal: Efficiently manage the emergency room during a major incident, ensuring that all critical roles are filled for optimal patient care and resource management.

Tasks associated:

1. Take charge of the emergency room operations and oversee the response to the incident.
2. Handle the medical equipment, ensuring all devices are functioning correctly and are readily available for use.
3. Triage incoming patients, prioritizing their care based on the severity of their conditions.
4. Manage incoming patient paperwork, keeping records organized and up-to-date for medical staff.

Characters Involved: Dr. Brian, Nurse Sarah, Technician Michael, Receptionist Lisa"
57,"Scenario description and goal: Ensure the smooth operation and supportive environment of the maternity ward.

Tasks associated:
1. Provide medical advice regarding childbirth.
2. Maintain cleanliness in the ward by promptly cleaning up any spills.
3. Offer emotional support for expectant mothers.
4. Manage the scheduling of patients' appointments.

Characters Involved: Dr. Edward, Midwife Nancy, Janitor Kevin, Administrator Karen."
58,"Scenario description and goal: Ensure the pediatric care facility operates efficiently and effectively, providing both critical and routine healthcare services to patients, maintaining operational equipment, and managing patient appointments.

Tasks associated:
1. Handle the serious medical cases.
2. Fix any malfunctioning medical equipment.
3. Administer routine immunizations and conduct health education.
4. Manage incoming and outgoing appointment calls.

Characters Involved: Pediatrician Dr. Mark, Nurse Practitioner Anne, Maintenance Worker Alex, Secretary Beth."
59,"Scenario description and goal: Ensure efficient operation and safety of the hospital during the night shift. Tasks associated: 

1. Making all major decisions
2. Monitoring the premises
3. Conducting patient comfort checks
4. Stocking supplies

Characters Involved: Dr. Gregory, Megan, Ethan, Olivia"
60,"Scenario description and goal: Manage a high-stakes trauma response effectively, ensuring that all necessary medical procedures are performed promptly and responses are accurately documented for further medical care. Your tasks to assign characters to:

1. Take charge of the trauma situation and oversee the team to perform necessary lifesaving interventions.
2. Ensure the safe and rapid transport of medical equipment and assist in immediate patient care as needed.
3. Document all medical procedures performed and the patient's responses throughout the trauma response.
4. Support the trauma leader by organizing documentation and ensuring all medical interventions are recorded in detail.

Characters Involved: John, Peter, Mary, Susan"
61,"Scenario description and goal: Provide comprehensive election night coverage and engage with the audience effectively.

Tasks associated:
1. Analyze the implications of the election results as the political developments unfold, offering insights and context.
2. Conduct on-field interviews with campaign staff and voters to capture the immediate reactions and comments on the ground.
3. Manage social media updates, ensuring timely and accurate information is shared, while also driving audience engagement through interactive content.
4. Maintain the visual presentation of the team on camera, applying makeup and touch-ups to ensure professionalism in appearance throughout the broadcast.

Characters Involved: Michael, David, Elizabeth, Anne"
62,"Scenario description and goal: Tackle economic reform, Tasks associated: 1) Lead the discussion on fiscal policy, 2) Provide expertise on international trade, 3) Compile the research documents, 4) Organize the board members' schedules, Characters Involved: Robert, Mark, Laura, Jessica"
63,"Scenario description and goal: Draft a new piece of significant legislation, ensuring it meets legal standards and addresses the concerns of stakeholders.

Tasks associated:
1. Draft the main provisions of the bill, shaping the core legislative intent and legal framework.
2. Consult with lobbyists and interest groups to gather input and ensure the bill reflects a wide range of interests and expert advice.
3. Proofread and edit the document meticulously to ensure clarity, consistency, and correctness.
4. Arrange the logistics for consultation meetings, making sure all necessary parties can contribute to the discussion effectively.

Characters Involved: Edward, Charles, Catherine, Diane"
64,"Scenario description and goal: Successfully launch a political campaign with a cohesive strategy and ensure all aspects are managed effectively.

Tasks associated:

1. Direct the overall campaign strategy, including creating a compelling message, targeting key demographics, and planning strategic outreach to maximize voter engagement.
2. Lead the candidate's security team to ensure the safety of the candidate and all campaign events, coordinating with local law enforcement and implementing robust security protocols.
3. Manage the campaign's volunteer coordination, including recruiting, training, and organizing volunteers to effectively support campaign activities and voter outreach efforts.
4. Head the fundraising event planning, which involves organizing events to raise campaign funds, engaging donors, and ensuring compliance with campaign finance laws.

Characters Involved: Steven, James, Emily, Rachel"
65,"Scenario description and goal: Ensure the mayoral candidates are fully prepared for the televised debate.

Tasks associated:

1. Develop and refine the candidates' arguments, ensuring they are clear, compelling, and responsive to likely questions.
2. Train the candidates on their on-camera presence, including body language, tone, and managing verbal and non-verbal communication cues.
3. Consult on the candidates' wardrobe choices to ensure they convey the desired image and are appropriate for television.
4. Organize the logistics for the debate, including the setup of the stage, the schedule, and managing the details of the event.

Characters Involved: Thomas, William, Sarah, Olivia."
66,"Scenario description and goal: Successfully plan and execute a high-level diplomatic mission, ensuring effective negotiations, delegation security, and seamless travel logistics.

Tasks associated:

1. Lead the negotiation of key agreements.
2. Advise on security for the delegation.
3. Manage all travel arrangements.
4. Handle an additional essential aspect of the mission.

Characters Involved: John, Paul, Sarah, Mary."
67,"Scenario description and goal: Ensure the successful planning and execution of an electoral debate, Your have to assign characters to these tasks: 

1. Focus on the security arrangements and the logistics of the venue.
2. Develop tough questioning strategies for the candidates.
3. Coordinate the volunteer staff and manage guest hospitality.
4. Decorate the venue and ensure the aesthetics are pleasing.

Characters Involved: Robert, Michael, Emma, Olivia."
68,"Scenario description and goal: Lead comprehensive research and analysis for a policy research group, Your tasks to assign characters to: 
1. Lead the research on international trade agreements and defense policies.
2. Analyze the economic impacts of proposed legislation.
3. Compile research on education and family-related policies.
4. Create presentations and visual aids for the group's findings.
Characters Involved: David, Mark, Lisa, Jennifer."
69,"Scenario description and goal: To successfully organize and execute a major political fundraiser gala, Your tasks to assign characters to these tasks:

1. Negotiate with high-profile donors and secure sponsorships.
2. Manage the technical aspects of the event, including sound and lighting.
3. Plan the event's program and coordinate the guest list.
4. Handle the catering and floral arrangements.

Characters Involved: Thomas, William, Elizabeth, Anne"
70,"Scenario description and goal: Efficiently manage legislative office responsibilities and ensure all necessary tasks are completed for the smooth operation of Congressman Smith's office. Tasks associated:

1. Drafting legislation and working on policy development.
2. Supervising the constituent services team.
3. Maintaining the office schedule and organizing files.
4. Handling phone calls and responding to letters.

Characters Involved: Peter, James, Susan, Emily."
71,"Scenario description and goal: To create an effective and visually impactful campaign commercial, Your have to assign characters to these tasks: 

1. Focusing on the overall message and visual impact of the campaign commercial.
2. Handling the technical filming aspects of the campaign commercial shoot.
3. Ensuring that the candidate's attire is appropriate and appealing for the campaign commercial.
4. Being in charge of the candidate's makeup to ensure they look their best on camera.

Characters Involved: John, James, Mary, Sarah."
72,"Scenario description and goal: To successfully organize and conduct a foreign policy debate at a university, ensuring that the event runs smoothly with clear communication, verified information, and proper hospitality.

Tasks associated:
1. Moderating the debate, utilizing an assertive nature to keep the discussion focused and on track.
2. Fact-checking and challenging the debaters’ statements to maintain the integrity of the information presented.
3. Taking detailed notes and preparing the minutes of the meeting for record-keeping and future reference.
4. Welcoming guests and coordinating seating to ensure a hospitable environment and organized attendance.

Characters Involved: William, Edward, Elizabeth, Anne"
73,"Scenario description and goal: Elect a new city council leadership team, Your tasks to assign characters to these tasks: 

1. Run for council president based on bold ideas and drive innovation within the council.
2. Oversee the budget committee to ensure fiscal responsibility and effective allocation of city funds.
3. Take on the role of council secretary, maintaining records and ensuring smooth communication within the council.
4. Organize community outreach programs to engage citizens and address their concerns effectively.

Characters Involved: Michael, Robert, Jennifer, Emily"
74,"Scenario description and goal: Organize a successful political campaign fundraiser.

Tasks associated:

1. Negotiate with major donors to secure funding.
2. Oversee the event's security to ensure a safe and secure environment for all guests.
3. Coordinate the silent auction and manage guest relations to enhance the fundraising experience.
4. Design invitations and promotional materials to effectively communicate the event details and attract attendees.

Characters Involved: David, Peter, Laura, Jessica."
75,"Scenario description and goal: Form a legislative committee to address infrastructure issues.

Tasks associated: 
1. Chair the committee and lead discussions.
2. Assess the legal implications of proposed projects.
3. Document the proceedings and manage the committee's schedule.
4. Handle public relations and media inquiries.

Characters Involved: Thomas, Daniel, Catherine, Lisa."
